_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248671-daily,60.9,62.3,63.9,61,55.4,2020-09-17
2,2020-09-19 00:00:27.706,/sonometros,NoiseLevelObserved,T248671-daily,61.7,63.2,64.5,62.2,55.4,2020-09-18
3,2020-09-20 00:00:31.140,/sonometros,NoiseLevelObserved,T248671-daily,60.2,60.8,64.7,63.2,57.1,2020-09-19
4,2020-09-21 00:00:33.247,/sonometros,NoiseLevelObserved,T248671-daily,57.9,58.1,63.6,59.3,57.1,2020-09-20
5,2020-09-22 00:00:36.201,/sonometros,NoiseLevelObserved,T248671-daily,61.2,63.1,63.1,59.6,52.5,2020-09-21
6,2020-09-23 00:00:39.511,/sonometros,NoiseLevelObserved,T248671-daily,61,62.8,63,59.9,52.6,2020-09-22
7,2020-09-24 00:00:43.634,/sonometros,NoiseLevelObserved,T248671-daily,60.8,62.6,62.9,59.8,52.7,2020-09-23
8,2020-09-25 00:00:46.954,/sonometros,NoiseLevelObserved,T248671-daily,60.9,62.7,62.8,59.7,52.5,2020-09-24
9,2020-09-26 00:00:48.289,/sonometros,NoiseLevelObserved,T248671-daily,61,62.4,64.3,61.6,55.9,2020-09-25
10,2020-09-27 00:00:51.580,/sonometros,NoiseLevelObserved,T248671-daily,60.9,62.1,64.5,61.3,56.6,2020-09-26
11,2020-09-28 00:00:54.827,/sonometros,NoiseLevelObserved,T248671-daily,57.8,58.6,62.4,59,55.3,2020-09-27
12,2020-09-29 00:00:56.363,/sonometros,NoiseLevelObserved,T248671-daily,60.8,62.5,62.8,61.1,52,2020-09-28
13,2020-09-30 00:00:59.158,/sonometros,NoiseLevelObserved,T248671-daily,60.3,62,62.5,58.9,53,2020-09-29
14,2020-10-01 00:00:03.161,/sonometros,NoiseLevelObserved,T248671-daily,64,66.1,65.4,60.3,53.8,2020-09-30
15,2020-10-02 00:00:06.466,/sonometros,NoiseLevelObserved,T248671-daily,60.3,62,63,60.1,53.7,2020-10-01
16,2020-10-03 00:00:11.614,/sonometros,NoiseLevelObserved,T248671-daily,61.2,62.6,64.7,61.9,56.4,2020-10-02
17,2020-10-04 00:00:10.653,/sonometros,NoiseLevelObserved,T248671-daily,61.2,62.4,64.9,62.4,56.8,2020-10-03
18,2020-10-05 00:00:13.146,/sonometros,NoiseLevelObserved,T248671-daily,59,59.9,63.8,58.5,56.9,2020-10-04
19,2020-10-06 00:00:17.869,/sonometros,NoiseLevelObserved,T248671-daily,60.1,61.8,62.5,59.3,53.1,2020-10-05
20,2020-10-07 00:00:19.78,/sonometros,NoiseLevelObserved,T248671-daily,60.3,62,62.9,59.4,53.7,2020-10-06
21,2020-10-08 00:00:21.812,/sonometros,NoiseLevelObserved,T248671-daily,60.8,62.5,63.2,60.6,53.4,2020-10-07
22,2020-10-09 00:00:23.588,/sonometros,NoiseLevelObserved,T248671-daily,63.6,65.3,65.8,63.6,55.6,2020-10-08
23,2020-10-10 00:00:26.93,/sonometros,NoiseLevelObserved,T248671-daily,58.9,59.6,63.6,61,56.3,2020-10-09
