_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248678-daily,56.9,58.8,58.7,55.8,47.8,2020-11-17
2,2020-11-19T00:00:05.65Z,/sonometros,NoiseLevelObserved,T248678-daily,55.9,57.4,58.4,56.7,48.7,2020-11-18
3,2020-11-20T00:00:15.169Z,/sonometros,NoiseLevelObserved,T248678-daily,56.4,57.9,59.0,58.0,49.0,2020-11-19
4,2020-11-21T00:00:17.43Z,/sonometros,NoiseLevelObserved,T248678-daily,57.6,57.8,61.6,63.2,52.2,2020-11-20
5,2020-11-22T00:00:19.704Z,/sonometros,NoiseLevelObserved,T248678-daily,59.4,59.9,63.1,64.3,53.5,2020-11-21
6,2020-11-23T00:00:20.746Z,/sonometros,NoiseLevelObserved,T248678-daily,55.1,56.8,57.2,54.2,47.2,2020-11-22
7,2020-11-24T00:00:49.738Z,/sonometros,NoiseLevelObserved,T248678-daily,59.5,61.4,61.0,58.2,49.2,2020-11-23
8,2020-11-25T00:00:50.997Z,/sonometros,NoiseLevelObserved,T248678-daily,55.9,57.6,58.3,54.2,49.1,2020-11-24
9,2020-11-26T00:00:54.24Z,/sonometros,NoiseLevelObserved,T248678-daily,56.7,58.5,58.8,55.4,48.9,2020-11-25
10,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248678-daily,56.9,57.8,60.7,60.3,52.1,2020-09-17
11,2020-09-19 00:00:22.152,/sonometros,NoiseLevelObserved,T248678-daily,57.5,57.7,62.5,61.3,55.1,2020-09-18
12,2020-09-20 00:00:24.502,/sonometros,NoiseLevelObserved,T248678-daily,58.4,58.2,63.7,63,56.4,2020-09-19
13,2020-09-21 00:00:26.490,/sonometros,NoiseLevelObserved,T248678-daily,56,57.1,60.5,54.1,53.6,2020-09-20
14,2020-09-22 00:00:28.885,/sonometros,NoiseLevelObserved,T248678-daily,57.9,59.5,60.3,59,50,2020-09-21
15,2020-09-23 00:00:31.84,/sonometros,NoiseLevelObserved,T248678-daily,55.8,57.5,58.1,54,48.8,2020-09-22
16,2020-09-24 00:00:33.380,/sonometros,NoiseLevelObserved,T248678-daily,55.6,57.1,58.4,56.4,49.3,2020-09-23
17,2020-09-25 00:00:35.972,/sonometros,NoiseLevelObserved,T248678-daily,56,57.4,59,57.2,50,2020-09-24
18,2020-09-26 00:00:38.295,/sonometros,NoiseLevelObserved,T248678-daily,57.7,57.9,62.4,62.3,54.4,2020-09-25
19,2020-09-27 00:00:40.29,/sonometros,NoiseLevelObserved,T248678-daily,56.6,56.7,61.9,59.5,55,2020-09-26
20,2020-09-28 00:00:42.61,/sonometros,NoiseLevelObserved,T248678-daily,55.3,55.5,61.3,55.7,55,2020-09-27
21,2020-09-29 00:00:45.568,/sonometros,NoiseLevelObserved,T248678-daily,58.2,59.7,60.9,59.7,51.3,2020-09-28
22,2020-09-30 00:00:46.412,/sonometros,NoiseLevelObserved,T248678-daily,55.6,57.3,58.1,55.8,48.5,2020-09-29
23,2020-10-01 00:00:48.802,/sonometros,NoiseLevelObserved,T248678-daily,56,57.4,59.1,56.6,50.4,2020-09-30
24,2020-10-02 00:00:50.955,/sonometros,NoiseLevelObserved,T248678-daily,55.9,56.9,60.2,57.1,52.7,2020-10-01
25,2020-10-03 00:00:53.101,/sonometros,NoiseLevelObserved,T248678-daily,57.5,58.5,60.9,60.8,51.8,2020-10-02
26,2020-10-04 00:00:55.261,/sonometros,NoiseLevelObserved,T248678-daily,57.1,56.9,62.7,60.9,55.8,2020-10-03
27,2020-10-05 00:00:57.51,/sonometros,NoiseLevelObserved,T248678-daily,54.5,54.5,60.9,54.1,54.7,2020-10-04
28,2020-10-06 00:00:04.799,/sonometros,NoiseLevelObserved,T248678-daily,58.1,59.4,61.2,60.1,52.1,2020-10-05
29,2020-10-07 00:00:06.656,/sonometros,NoiseLevelObserved,T248678-daily,56.1,57.7,58.9,55.6,50.1,2020-10-06
30,2020-10-08 00:00:09.213,/sonometros,NoiseLevelObserved,T248678-daily,58.2,59.9,60.7,57.1,51.4,2020-10-07
