_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248682-daily,59.6,61.4,61.6,57.9,51.6,2020-11-17
2,2020-11-19T00:00:47.642Z,/sonometros,NoiseLevelObserved,T248682-daily,59.8,61.5,61.8,60.2,51.0,2020-11-18
3,2020-11-21T00:00:10.965Z,/sonometros,NoiseLevelObserved,T248682-daily,59.8,61.0,62.9,59.6,55.0,2020-11-20
4,2020-11-22T00:00:12.449Z,/sonometros,NoiseLevelObserved,T248682-daily,58.7,60.1,62.1,59.1,53.8,2020-11-21
5,2020-11-23T00:00:16.224Z,/sonometros,NoiseLevelObserved,T248682-daily,58.3,60.0,60.6,58.2,50.7,2020-11-22
6,2020-11-24T00:00:18.657Z,/sonometros,NoiseLevelObserved,T248682-daily,59.4,61.2,61.4,59.1,50.8,2020-11-23
7,2020-11-25T00:00:18.633Z,/sonometros,NoiseLevelObserved,T248682-daily,59.6,61.4,61.7,58.4,51.7,2020-11-24
8,2020-11-26T00:00:22.476Z,/sonometros,NoiseLevelObserved,T248682-daily,59.1,60.7,61.8,58.6,52.9,2020-11-25
9,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248682-daily,62.3,64.3,63.7,59,52.1,2020-09-17
10,2020-09-19 00:00:27.667,/sonometros,NoiseLevelObserved,T248682-daily,60.9,62.6,63.2,60.1,53.7,2020-09-18
11,2020-09-20 00:00:30.306,/sonometros,NoiseLevelObserved,T248682-daily,57.6,58.7,61.7,58.5,54.1,2020-09-19
12,2020-09-21 00:00:33.77,/sonometros,NoiseLevelObserved,T248682-daily,55.9,56.6,60.4,58,53,2020-09-20
13,2020-09-22 00:00:35.473,/sonometros,NoiseLevelObserved,T248682-daily,60.1,61.9,62.2,58.3,52.5,2020-09-21
14,2020-09-23 00:00:38.51,/sonometros,NoiseLevelObserved,T248682-daily,62.1,64.2,63.3,58.2,51,2020-09-22
15,2020-09-24 00:00:40.830,/sonometros,NoiseLevelObserved,T248682-daily,60.7,62.6,62.4,58.4,51.8,2020-09-23
16,2020-09-25 00:00:43.413,/sonometros,NoiseLevelObserved,T248682-daily,61.5,63.3,63.4,60.8,52.8,2020-09-24
17,2020-09-26 00:00:46.39,/sonometros,NoiseLevelObserved,T248682-daily,59.4,60.8,62.9,58.8,54.9,2020-09-25
18,2020-09-27 00:00:48.750,/sonometros,NoiseLevelObserved,T248682-daily,57.4,58.7,61.3,57.9,53.5,2020-09-26
19,2020-10-14 00:00:41.588,/sonometros,NoiseLevelObserved,T248682-daily,58.7,59.6,61.8,57.8,55.1,2020-10-13
20,2020-10-15 00:00:00.324,/sonometros,NoiseLevelObserved,T248682-daily,62.7,64.7,64.2,61.3,52.4,2020-10-14
21,2020-10-16 00:00:27.113,/sonometros,NoiseLevelObserved,T248682-daily,60.4,62.4,62.3,57.6,52,2020-10-15
22,2020-10-17 00:00:28.706,/sonometros,NoiseLevelObserved,T248682-daily,59.4,61,62,59.7,52.5,2020-10-16
23,2020-10-18 00:00:31.676,/sonometros,NoiseLevelObserved,T248682-daily,58.3,59,62.5,61.3,54.5,2020-10-17
24,2020-10-19 00:00:34.98,/sonometros,NoiseLevelObserved,T248682-daily,57.8,59,61.6,58.7,53.8,2020-10-18
25,2020-10-20 00:00:37.82,/sonometros,NoiseLevelObserved,T248682-daily,60.1,61.9,62.2,59,52,2020-10-19
26,2020-10-21 00:00:39.552,/sonometros,NoiseLevelObserved,T248682-daily,60.3,62.1,62.4,58.5,52.5,2020-10-20
27,2020-10-22 00:00:41.886,/sonometros,NoiseLevelObserved,T248682-daily,58.6,60.2,61.2,58.3,51.9,2020-10-21
28,2020-10-23 00:00:44.406,/sonometros,NoiseLevelObserved,T248682-daily,59.5,61.2,61.8,59.1,52.1,2020-10-22
29,2020-10-24 00:00:46.783,/sonometros,NoiseLevelObserved,T248682-daily,59.3,60.9,62,58.8,53.1,2020-10-23
30,2020-10-25 00:00:49.34,/sonometros,NoiseLevelObserved,T248682-daily,57.9,59.1,61.8,58.6,54.1,2020-10-24
31,2020-10-26 00:00:51.195,/sonometros,NoiseLevelObserved,T248682-daily,57.9,59.4,61.3,58.1,52.9,2020-10-25
32,2020-10-27 00:00:53.687,/sonometros,NoiseLevelObserved,T248682-daily,60.1,62,61.8,57.3,51.4,2020-10-26
33,2020-10-28 00:00:55.679,/sonometros,NoiseLevelObserved,T248682-daily,60.1,62,61.6,57.5,50.4,2020-10-27
34,2020-10-29 00:00:57.741,/sonometros,NoiseLevelObserved,T248682-daily,60.2,62.2,61.7,57.6,50.2,2020-10-28
35,2020-10-30 00:00:01.791,/sonometros,NoiseLevelObserved,T248682-daily,59.6,61.1,62.3,59.6,53.3,2020-10-29
36,2020-10-31 00:00:04.976,/sonometros,NoiseLevelObserved,T248682-daily,60.7,62.3,63,61.3,52.8,2020-10-30
37,2020-11-01 00:00:06.620,/sonometros,NoiseLevelObserved,T248682-daily,59.3,60.3,62.6,62.8,53.3,2020-10-31
38,2020-11-02 00:00:41.525,/sonometros,NoiseLevelObserved,T248682-daily,57.4,58.9,60.4,57.7,51.7,2020-11-01
39,2020-11-03 00:00:14.785,/sonometros,NoiseLevelObserved,T248682-daily,60.1,62,61.8,58.6,50.8,2020-11-02
