_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248661-daily,57.1,59.2,57.9,52.8,44.1,2020-11-17
2,2020-11-19T00:00:20.779Z,/sonometros,NoiseLevelObserved,T248661-daily,56.3,58.4,57.4,53.0,44.6,2020-11-18
3,2020-11-21T00:00:37.24Z,/sonometros,NoiseLevelObserved,T248661-daily,56.5,58.3,58.2,55.5,47.0,2020-11-20
4,2020-11-22T00:00:39.962Z,/sonometros,NoiseLevelObserved,T248661-daily,53.3,54.7,56.4,54.3,47.6,2020-11-21
5,2020-11-23T00:00:43.359Z,/sonometros,NoiseLevelObserved,T248661-daily,53.2,55.0,55.4,51.8,45.7,2020-11-22
6,2020-11-24T00:00:43.460Z,/sonometros,NoiseLevelObserved,T248661-daily,55.1,57.2,56.0,51.2,42.6,2020-11-23
7,2020-11-25T00:00:58.609Z,/sonometros,NoiseLevelObserved,T248661-daily,57.5,59.6,58.5,54.0,45.1,2020-11-24
8,2020-11-26T00:00:49.162Z,/sonometros,NoiseLevelObserved,T248661-daily,55.8,57.8,57.4,53.1,46.5,2020-11-25
9,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248661-daily,55.7,57.1,59,55.3,50.9,2020-09-17
10,2020-09-19 00:00:50.467,/sonometros,NoiseLevelObserved,T248661-daily,55.7,57.4,58.2,55.5,48.8,2020-09-18
11,2020-09-20 00:00:53.240,/sonometros,NoiseLevelObserved,T248661-daily,54.5,55.9,57.8,54.7,49.6,2020-09-19
12,2020-09-21 00:00:56.886,/sonometros,NoiseLevelObserved,T248661-daily,52.3,53.6,56.4,50.3,49.1,2020-09-20
13,2020-09-22 00:00:58.357,/sonometros,NoiseLevelObserved,T248661-daily,55,56.9,56.5,53.1,45.1,2020-09-21
14,2020-09-23 00:00:04.219,/sonometros,NoiseLevelObserved,T248661-daily,54.8,56.7,56.4,53.9,44.9,2020-09-22
15,2020-09-24 00:00:06.763,/sonometros,NoiseLevelObserved,T248661-daily,54.6,56.4,56.6,54.3,45.9,2020-09-23
16,2020-09-25 00:00:08.716,/sonometros,NoiseLevelObserved,T248661-daily,54.6,56.4,56.7,54.4,46.2,2020-09-24
17,2020-09-26 00:00:14.23,/sonometros,NoiseLevelObserved,T248661-daily,54.8,56.2,57.8,56.8,48.5,2020-09-25
18,2020-09-27 00:01:13.625,/sonometros,NoiseLevelObserved,T248661-daily,54.8,56.3,58,55.2,49.5,2020-09-26
19,2020-09-28 00:00:15.893,/sonometros,NoiseLevelObserved,T248661-daily,51.1,52.2,55.2,51.8,47.6,2020-09-27
20,2020-09-29 00:00:18.72,/sonometros,NoiseLevelObserved,T248661-daily,55.1,57,56.7,52.8,45.8,2020-09-28
21,2020-09-30 01:27:24.490,/sonometros,NoiseLevelObserved,T248661-daily,54.5,56,57.1,55.8,47.4,2020-09-29
22,2020-10-01 00:00:21.871,/sonometros,NoiseLevelObserved,T248661-daily,55.3,57.1,57.4,55,46.9,2020-09-30
23,2020-10-02 00:00:25.310,/sonometros,NoiseLevelObserved,T248661-daily,54.7,56.2,57.1,55.8,47.2,2020-10-01
24,2020-10-03 00:00:26.963,/sonometros,NoiseLevelObserved,T248661-daily,54.9,56.5,57.5,55.5,48,2020-10-02
25,2020-10-04 00:00:30.194,/sonometros,NoiseLevelObserved,T248661-daily,54.7,56.1,58,54.2,49.8,2020-10-03
26,2020-10-05 00:00:33.47,/sonometros,NoiseLevelObserved,T248661-daily,53,54.4,56.6,52.1,48.8,2020-10-04
