_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248676-daily,60.1,62.0,61.8,58.0,51.2,2020-11-17
2,2020-11-19T00:00:33.189Z,/sonometros,NoiseLevelObserved,T248676-daily,60.4,62.3,62.1,58.4,51.4,2020-11-18
3,2020-11-20T00:00:44.190Z,/sonometros,NoiseLevelObserved,T248676-daily,60.1,61.9,62.1,59.1,51.9,2020-11-19
4,2020-11-21T00:00:38.549Z,/sonometros,NoiseLevelObserved,T248676-daily,60.2,61.9,62.3,59.1,52.3,2020-11-20
5,2020-11-22T00:00:41.210Z,/sonometros,NoiseLevelObserved,T248676-daily,58.3,59.5,61.6,60.9,52.5,2020-11-21
6,2020-11-23T00:00:44.77Z,/sonometros,NoiseLevelObserved,T248676-daily,56.8,58.3,60.0,57.0,51.6,2020-11-22
7,2020-11-24T00:00:46.310Z,/sonometros,NoiseLevelObserved,T248676-daily,60.0,61.9,61.8,58.1,51.3,2020-11-23
8,2020-11-25T00:00:49.700Z,/sonometros,NoiseLevelObserved,T248676-daily,60.5,62.4,62.3,57.9,51.8,2020-11-24
9,2020-11-26T00:00:50.966Z,/sonometros,NoiseLevelObserved,T248676-daily,60.0,61.7,62.2,58.6,52.6,2020-11-25
10,2020-10-15 00:00:07.614,/sonometros,NoiseLevelObserved,T248676-daily,59.6,60.7,62.1,58.2,54.2,2020-10-14
11,2020-10-16 00:00:08.801,/sonometros,NoiseLevelObserved,T248676-daily,58.4,60.2,60.6,57.3,50.7,2020-10-15
12,2020-10-17 00:00:11.646,/sonometros,NoiseLevelObserved,T248676-daily,59.9,61.2,62.4,62.6,51.7,2020-10-16
13,2020-10-18 00:00:12.200,/sonometros,NoiseLevelObserved,T248676-daily,58.5,59.6,62.2,59.9,54.1,2020-10-17
14,2020-10-19 00:00:15.726,/sonometros,NoiseLevelObserved,T248676-daily,56.6,57.5,60.7,59.2,52.7,2020-10-18
15,2020-10-20 00:00:16.783,/sonometros,NoiseLevelObserved,T248676-daily,59.3,61.1,61.8,58.1,52.5,2020-10-19
16,2020-10-21 00:00:19.751,/sonometros,NoiseLevelObserved,T248676-daily,60.4,62.3,62.3,58.7,51.9,2020-10-20
