_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248672-daily,57.2,58.6,61.1,55.6,53.6,2020-11-17
2,2020-11-19T00:00:15.268Z,/sonometros,NoiseLevelObserved,T248672-daily,57.0,58.7,59.0,57.4,48.3,2020-11-18
3,2020-11-20T00:00:21.46Z,/sonometros,NoiseLevelObserved,T248672-daily,57.7,58.4,62.6,57.8,55.8,2020-11-19
4,2020-11-21T00:00:23.270Z,/sonometros,NoiseLevelObserved,T248672-daily,58.6,59.3,63.1,61.3,55.6,2020-11-20
5,2020-11-22T00:00:25.575Z,/sonometros,NoiseLevelObserved,T248672-daily,60.6,62.0,63.1,63.0,52.5,2020-11-21
6,2020-11-23T00:00:27.725Z,/sonometros,NoiseLevelObserved,T248672-daily,56.1,57.0,60.7,56.6,53.6,2020-11-22
7,2020-11-24T00:00:29.996Z,/sonometros,NoiseLevelObserved,T248672-daily,57.5,59.0,60.8,56.4,52.8,2020-11-23
8,2020-11-25T00:00:32.115Z,/sonometros,NoiseLevelObserved,T248672-daily,56.8,58.7,58.9,55.4,48.8,2020-11-24
9,2020-11-26T00:00:34.393Z,/sonometros,NoiseLevelObserved,T248672-daily,57.0,58.1,61.2,57.1,53.9,2020-11-25
10,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248672-daily,56.9,58,60.8,59,52.7,2020-09-17
11,2020-09-19 00:00:22.964,/sonometros,NoiseLevelObserved,T248672-daily,58.6,58.8,64,61.3,57.1,2020-09-18
12,2020-09-20 00:00:25.562,/sonometros,NoiseLevelObserved,T248672-daily,58.7,58.3,64.8,61.9,58.2,2020-09-19
13,2020-09-21 00:00:28.9,/sonometros,NoiseLevelObserved,T248672-daily,55.3,54.4,62.3,56.1,56.3,2020-09-20
14,2020-09-22 00:00:30.623,/sonometros,NoiseLevelObserved,T248672-daily,58.9,60.2,62.2,59.3,54,2020-09-21
15,2020-09-23 00:01:33.98,/sonometros,NoiseLevelObserved,T248672-daily,56.9,57.9,61.1,57.7,53.6,2020-09-22
16,2020-09-24 00:00:35.692,/sonometros,NoiseLevelObserved,T248672-daily,56.6,57.4,61,58.7,53.5,2020-09-23
17,2020-09-25 00:00:38.169,/sonometros,NoiseLevelObserved,T248672-daily,56.9,57.7,61.3,59.1,53.8,2020-09-24
18,2020-09-26 00:00:40.644,/sonometros,NoiseLevelObserved,T248672-daily,57.9,58.1,62.9,61.4,55.6,2020-09-25
19,2020-09-27 00:00:43.30,/sonometros,NoiseLevelObserved,T248672-daily,59.1,59.4,64.1,62.4,56.8,2020-09-26
20,2020-09-30 14:41:10.500,/sonometros,NoiseLevelObserved,T248672-daily,56.5,57.7,60.2,57.4,52.3,2020-09-29
21,2020-10-01 00:00:52.534,/sonometros,NoiseLevelObserved,T248672-daily,57.2,58.1,61.7,57.5,54.5,2020-09-30
22,2020-10-02 00:00:55.30,/sonometros,NoiseLevelObserved,T248672-daily,57.3,58.3,61.4,59.1,53.6,2020-10-01
23,2020-10-03 00:00:57.295,/sonometros,NoiseLevelObserved,T248672-daily,59.2,59.4,64.1,63.2,56.5,2020-10-02
24,2020-10-04 00:00:00.826,/sonometros,NoiseLevelObserved,T248672-daily,58.9,58.9,64.5,61.7,57.7,2020-10-03
25,2020-10-05 00:00:03.122,/sonometros,NoiseLevelObserved,T248672-daily,56,56.1,62.1,55.5,55.9,2020-10-04
26,2020-10-06 00:00:20.730,/sonometros,NoiseLevelObserved,T248672-daily,59.3,61.2,61.4,58.1,51.1,2020-10-05
27,2020-10-07 00:00:12.608,/sonometros,NoiseLevelObserved,T248672-daily,57.5,58.2,62.1,59.9,54.7,2020-10-06
28,2020-10-08 00:00:10.600,/sonometros,NoiseLevelObserved,T248672-daily,57.4,58.6,61.4,57.7,53.8,2020-10-07
29,2020-10-09 00:00:13.510,/sonometros,NoiseLevelObserved,T248672-daily,58.1,58.4,63.1,61.6,55.7,2020-10-08
30,2020-10-10 00:00:15.334,/sonometros,NoiseLevelObserved,T248672-daily,57.8,58.3,62.9,59.9,55.9,2020-10-09
31,2020-10-11 00:00:17.661,/sonometros,NoiseLevelObserved,T248672-daily,57.7,57.8,63.3,59.7,56.7,2020-10-10
32,2020-10-12 00:00:20.137,/sonometros,NoiseLevelObserved,T248672-daily,55.3,55.3,61,58,54.3,2020-10-11
33,2020-10-13 00:00:21.636,/sonometros,NoiseLevelObserved,T248672-daily,55.6,56.3,60.4,56.6,53.4,2020-10-12
34,2020-10-14 00:00:23.934,/sonometros,NoiseLevelObserved,T248672-daily,56.4,57.2,61.4,56.4,54.6,2020-10-13
35,2020-10-15 00:00:26.123,/sonometros,NoiseLevelObserved,T248672-daily,56.7,58,60.4,57,52.6,2020-10-14
36,2020-10-16 00:00:43.497,/sonometros,NoiseLevelObserved,T248672-daily,56.8,58,60.9,56.7,53.5,2020-10-15
37,2020-10-17 00:00:46.153,/sonometros,NoiseLevelObserved,T248672-daily,58.4,59.3,62.5,60.9,54.6,2020-10-16
38,2020-10-18 00:00:48.251,/sonometros,NoiseLevelObserved,T248672-daily,59.8,59.9,64.9,63.8,57.5,2020-10-17
39,2020-10-19 00:00:51.419,/sonometros,NoiseLevelObserved,T248672-daily,56.2,56.1,62.3,57.2,56,2020-10-18
40,2020-10-20 00:00:52.849,/sonometros,NoiseLevelObserved,T248672-daily,57.3,58.6,61.4,56.3,54.1,2020-10-19
41,2020-10-21 00:00:55.248,/sonometros,NoiseLevelObserved,T248672-daily,57.3,58.7,61,56.1,53.4,2020-10-20
42,2020-10-22 00:00:57.656,/sonometros,NoiseLevelObserved,T248672-daily,56.7,57.9,60.2,57.4,52.2,2020-10-21
43,2020-10-23 00:00:32.342,/sonometros,NoiseLevelObserved,T248672-daily,57.1,58.2,61.4,57,54.2,2020-10-22
44,2020-10-24 00:00:04.247,/sonometros,NoiseLevelObserved,T248672-daily,58,58.5,62.8,60.8,55.5,2020-10-23
45,2020-10-25 00:00:10.890,/sonometros,NoiseLevelObserved,T248672-daily,60.3,61.2,64.3,62.7,56.3,2020-10-24
46,2020-10-26 00:00:11.253,/sonometros,NoiseLevelObserved,T248672-daily,55.5,56.7,59.3,57.8,50.9,2020-10-25
47,2020-10-27 00:00:17.626,/sonometros,NoiseLevelObserved,T248672-daily,56.2,57.6,59.7,55.2,51.9,2020-10-26
48,2020-10-28 00:00:13.138,/sonometros,NoiseLevelObserved,T248672-daily,55.9,57,60.1,56.1,52.7,2020-10-27
49,2020-10-29 00:00:26.10,/sonometros,NoiseLevelObserved,T248672-daily,56.5,58.1,59,56.4,49.6,2020-10-28
50,2020-10-30 00:00:17.666,/sonometros,NoiseLevelObserved,T248672-daily,57.3,58.4,61.3,57.9,53.7,2020-10-29
51,2020-10-31 00:00:19.956,/sonometros,NoiseLevelObserved,T248672-daily,59.1,59.5,64.3,61.3,57.4,2020-10-30
52,2020-11-01 00:00:21.150,/sonometros,NoiseLevelObserved,T248672-daily,59.8,61,62.7,62.4,53.1,2020-10-31
53,2020-11-02 00:00:23.539,/sonometros,NoiseLevelObserved,T248672-daily,55.1,56.3,58.5,56.4,50.1,2020-11-01
54,2020-11-03 00:00:25.859,/sonometros,NoiseLevelObserved,T248672-daily,59.3,61,62,56.8,53.4,2020-11-02
55,2020-11-04 00:00:28.157,/sonometros,NoiseLevelObserved,T248672-daily,57.1,58.1,61.6,55.6,54.7,2020-11-03
56,2020-11-05 00:00:30.611,/sonometros,NoiseLevelObserved,T248672-daily,56.6,57.7,60.7,57,53.2,2020-11-04
57,2020-11-06 00:00:32.683,/sonometros,NoiseLevelObserved,T248672-daily,61.2,62.4,65.8,55.2,59.1,2020-11-05
58,2020-11-07 00:00:34.982,/sonometros,NoiseLevelObserved,T248672-daily,58.3,59.2,62,61.4,53.4,2020-11-06
59,2020-11-08 00:00:37.380,/sonometros,NoiseLevelObserved,T248672-daily,60.2,60.5,65.4,63,58.4,2020-11-07
60,2020-11-09 00:00:39.588,/sonometros,NoiseLevelObserved,T248672-daily,55.9,57,59.9,56.8,52.2,2020-11-08
61,2020-11-10 00:00:41.912,/sonometros,NoiseLevelObserved,T248672-daily,58.7,60.1,62.4,55.6,54.9,2020-11-09
62,2020-11-11 00:00:44.737,/sonometros,NoiseLevelObserved,T248672-daily,57.7,59,61.3,57.6,53.4,2020-11-10
63,2020-11-12 00:00:46.479,/sonometros,NoiseLevelObserved,T248672-daily,57.2,58.5,60.5,57.9,52.2,2020-11-11
64,2020-11-13 00:00:48.773,/sonometros,NoiseLevelObserved,T248672-daily,56.9,58.3,59.4,58.8,49.3,2020-11-12
65,2020-11-14 00:00:51.192,/sonometros,NoiseLevelObserved,T248672-daily,58.6,59.2,62.8,61.9,54.8,2020-11-13
66,2020-11-15 00:00:53.437,/sonometros,NoiseLevelObserved,T248672-daily,60.5,61.5,64,63.3,55.3,2020-11-14
67,2020-11-16 00:01:55.827,/sonometros,NoiseLevelObserved,T248672-daily,56,56.9,60.7,57.2,53.5,2020-11-15
68,2020-11-17 00:00:58.215,/sonometros,NoiseLevelObserved,T248672-daily,57.2,58.7,60.5,55.5,52.5,2020-11-16
69,2020-11-27T00:00:36.673Z,/sonometros,NoiseLevelObserved,T248672-daily,57.1,58.3,61.0,57.5,53.4,2020-11-26
70,2020-11-28T00:00:38.948Z,/sonometros,NoiseLevelObserved,T248672-daily,65.0,67.1,65.7,57.8,52.5,2020-11-27
71,2020-11-29T00:00:41.64Z,/sonometros,NoiseLevelObserved,T248672-daily,61.8,62.2,67.4,62.6,60.8,2020-11-28
72,2020-11-30T00:00:43.353Z,/sonometros,NoiseLevelObserved,T248672-daily,55.8,57.2,59.1,57.0,50.5,2020-11-29
73,2020-12-01T00:00:45.691Z,/sonometros,NoiseLevelObserved,T248672-daily,57.7,59.4,60.6,55.2,52.3,2020-11-30
74,2020-12-02T00:00:47.983Z,/sonometros,NoiseLevelObserved,T248672-daily,57.6,58.1,62.4,59.8,55.3,2020-12-01
75,2020-12-03T00:00:50.103Z,/sonometros,NoiseLevelObserved,T248672-daily,56.2,57.0,61.4,54.3,54.9,2020-12-02
76,2020-12-04T00:00:52.815Z,/sonometros,NoiseLevelObserved,T248672-daily,57.1,58.3,60.8,59.2,52.4,2020-12-03
77,2020-12-05T00:00:54.542Z,/sonometros,NoiseLevelObserved,T248672-daily,58.1,59.4,61.4,59.6,52.7,2020-12-04
78,2020-12-06T00:00:56.629Z,/sonometros,NoiseLevelObserved,T248672-daily,58.9,59.3,63.2,63.1,55.1,2020-12-05
79,2020-12-07T00:00:58.796Z,/sonometros,NoiseLevelObserved,T248672-daily,55.3,56.7,58.3,55.7,49.7,2020-12-06
80,2020-12-08T00:00:03.748Z,/sonometros,NoiseLevelObserved,T248672-daily,58.1,59.5,60.9,59.8,51.5,2020-12-07
81,2020-12-09T00:00:11.469Z,/sonometros,NoiseLevelObserved,T248672-daily,54.8,56.4,57.7,54.1,49.0,2020-12-08
82,2020-12-10T00:00:06.829Z,/sonometros,NoiseLevelObserved,T248672-daily,56.2,57.5,59.9,55.3,52.3,2020-12-09
83,2020-12-11T00:00:08.762Z,/sonometros,NoiseLevelObserved,T248672-daily,56.7,57.9,60.4,57.8,52.3,2020-12-10
84,2020-12-12T00:00:27.249Z,/sonometros,NoiseLevelObserved,T248672-daily,58.8,59.8,62.8,61.2,54.8,2020-12-11
85,2020-12-13T00:00:28.443Z,/sonometros,NoiseLevelObserved,T248672-daily,60.6,61.3,64.7,64.1,56.4,2020-12-12
86,2020-12-14T00:02:30.768Z,/sonometros,NoiseLevelObserved,T248672-daily,56.1,57.4,59.7,56.9,51.6,2020-12-13
87,2020-12-15T00:00:32.978Z,/sonometros,NoiseLevelObserved,T248672-daily,56.9,58.0,60.6,58.4,52.6,2020-12-14
88,2020-12-16T00:00:35.330Z,/sonometros,NoiseLevelObserved,T248672-daily,56.7,58.3,59.4,55.9,50.6,2020-12-15
89,2020-12-17T00:00:37.370Z,/sonometros,NoiseLevelObserved,T248672-daily,56.7,58.2,59.6,56.6,50.8,2020-12-16
90,2020-12-18T00:01:39.771Z,/sonometros,NoiseLevelObserved,T248672-daily,57.6,58.9,61.5,57.8,53.8,2020-12-17
91,2020-12-19T00:00:41.885Z,/sonometros,NoiseLevelObserved,T248672-daily,58.7,60.0,61.6,61.3,51.8,2020-12-18
92,2020-12-20T00:00:44.95Z,/sonometros,NoiseLevelObserved,T248672-daily,60.0,60.8,63.6,63.5,54.8,2020-12-19
93,2020-12-21T00:00:46.981Z,/sonometros,NoiseLevelObserved,T248672-daily,56.1,57.2,59.8,57.7,51.8,2020-12-20
94,2020-12-22T00:00:48.562Z,/sonometros,NoiseLevelObserved,T248672-daily,57.4,59.1,59.9,57.4,50.3,2020-12-21
95,2020-12-23T00:00:51.686Z,/sonometros,NoiseLevelObserved,T248672-daily,58.6,60.1,60.8,60.7,49.3,2020-12-22
96,2020-12-24T00:01:19.456Z,/sonometros,NoiseLevelObserved,T248672-daily,59.8,61.1,62.3,62.6,51.4,2020-12-23
97,2020-12-25T00:00:56.709Z,/sonometros,NoiseLevelObserved,T248672-daily,57.3,59.3,58.9,52.6,48.3,2020-12-24
98,2020-12-26T00:00:58.217Z,/sonometros,NoiseLevelObserved,T248672-daily,55.0,56.2,58.6,55.5,50.7,2020-12-25
99,2020-12-27T00:01:00.803Z,/sonometros,NoiseLevelObserved,T248672-daily,58.0,59.2,60.4,61.8,48.0,2020-12-26
100,2020-12-28T00:00:03.744Z,/sonometros,NoiseLevelObserved,T248672-daily,56.6,58.2,59.0,56.7,49.2,2020-12-27
101,2020-12-29T00:00:44.209Z,/sonometros,NoiseLevelObserved,T248672-daily,60.6,62.9,62.3,56.6,51.4,2020-12-28
102,2020-12-30T00:00:46.18Z,/sonometros,NoiseLevelObserved,T248672-daily,62.9,63.4,68.8,57.5,62.7,2020-12-29
103,2020-12-31T00:00:47.526Z,/sonometros,NoiseLevelObserved,T248672-daily,58.1,58.9,62.6,59.3,55.4,2020-12-30
104,2021-01-01T00:00:49.990Z,/sonometros,NoiseLevelObserved,T248672-daily,59.7,60.3,64.6,61.9,57.4,2020-12-31
105,2021-01-02T00:00:51.832Z,/sonometros,NoiseLevelObserved,T248672-daily,55.3,54.1,62.7,54.6,56.9,2021-01-01
106,2021-01-03T00:00:53.845Z,/sonometros,NoiseLevelObserved,T248672-daily,59.9,61.7,62.2,58.6,52.5,2021-01-02
107,2021-01-04T00:00:57.164Z,/sonometros,NoiseLevelObserved,T248672-daily,54.8,56.4,56.6,56.5,44.1,2021-01-03
108,2021-01-05T00:00:58.124Z,/sonometros,NoiseLevelObserved,T248672-daily,58.7,60.6,60.9,55.7,51.5,2021-01-04
109,2021-01-06T00:00:09.78Z,/sonometros,NoiseLevelObserved,T248672-daily,56.8,58.4,59.6,56.9,50.5,2021-01-05
110,2021-01-07T00:00:04.232Z,/sonometros,NoiseLevelObserved,T248672-daily,56.4,57.5,59.8,59.3,50.9,2021-01-06
111,2021-01-08T00:00:21.1Z,/sonometros,NoiseLevelObserved,T248672-daily,57.1,58.6,60.4,54.3,52.6,2021-01-07
112,2021-01-09T00:00:07.691Z,/sonometros,NoiseLevelObserved,T248672-daily,58.4,60.0,61.3,57.7,52.6,2021-01-08
113,2021-01-10T00:00:10.129Z,/sonometros,NoiseLevelObserved,T248672-daily,57.2,58.5,60.5,57.6,52.3,2021-01-09
114,2021-01-11T00:00:11.858Z,/sonometros,NoiseLevelObserved,T248672-daily,54.6,56.5,56.1,54.3,43.6,2021-01-10
115,2021-01-12T00:00:15.985Z,/sonometros,NoiseLevelObserved,T248672-daily,58.2,60.1,60.4,55.1,50.9,2021-01-11
116,2021-01-13T00:00:17.775Z,/sonometros,NoiseLevelObserved,T248672-daily,55.9,57.4,59.3,53.6,51.5,2021-01-12
117,2021-01-14T00:00:17.994Z,/sonometros,NoiseLevelObserved,T248672-daily,56.3,57.9,59.7,54.3,51.7,2021-01-13
118,2021-01-15T00:00:20.936Z,/sonometros,NoiseLevelObserved,T248672-daily,56.1,58.1,57.5,53.0,46.0,2021-01-14
119,2021-01-16T00:00:21.123Z,/sonometros,NoiseLevelObserved,T248672-daily,56.5,57.8,60.4,56.3,52.8,2021-01-15
120,2021-01-17T00:00:23.76Z,/sonometros,NoiseLevelObserved,T248672-daily,59.2,61.3,60.4,56.7,47.7,2021-01-16
121,2021-01-18T00:00:25.669Z,/sonometros,NoiseLevelObserved,T248672-daily,53.4,54.6,57.4,52.1,50.1,2021-01-17
122,2021-01-19T00:00:27.413Z,/sonometros,NoiseLevelObserved,T248672-daily,61.1,63.2,62.3,53.5,51.2,2021-01-18
123,2021-01-20T00:00:30.102Z,/sonometros,NoiseLevelObserved,T248672-daily,56.3,58.0,58.9,54.0,50.0,2021-01-19
124,2021-01-21T00:00:32.294Z,/sonometros,NoiseLevelObserved,T248672-daily,56.7,58.3,59.7,55.6,51.2,2021-01-20
125,2021-01-22T00:00:34.334Z,/sonometros,NoiseLevelObserved,T248672-daily,56.8,58.6,59.4,53.4,50.6,2021-01-21
126,2021-01-23T00:00:37.588Z,/sonometros,NoiseLevelObserved,T248672-daily,55.9,57.7,58.2,53.6,48.8,2021-01-22
127,2021-01-24T00:00:38.976Z,/sonometros,NoiseLevelObserved,T248672-daily,54.7,56.5,57.1,52.1,47.9,2021-01-23
