_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248652-daily,62.4,64.4,63.7,58.7,51.9,2020-11-17
2,2020-11-19T00:00:44.541Z,/sonometros,NoiseLevelObserved,T248652-daily,58.9,60.5,61.3,59.7,51.3,2020-11-18
3,2020-11-20T00:00:21.45Z,/sonometros,NoiseLevelObserved,T248652-daily,59.3,60.6,62.5,60.9,53.7,2020-11-19
4,2020-11-21T00:00:22.909Z,/sonometros,NoiseLevelObserved,T248652-daily,59.4,60.4,62.7,62.4,53.7,2020-11-20
5,2020-11-22T00:02:25.468Z,/sonometros,NoiseLevelObserved,T248652-daily,58.9,60.2,62.0,60.3,53.1,2020-11-21
6,2020-11-23T00:00:27.953Z,/sonometros,NoiseLevelObserved,T248652-daily,56.9,58.2,60.8,56.5,53.3,2020-11-22
7,2020-11-24T00:00:30.534Z,/sonometros,NoiseLevelObserved,T248652-daily,58.2,59.9,60.9,56.6,52.1,2020-11-23
8,2020-11-25T00:00:31.652Z,/sonometros,NoiseLevelObserved,T248652-daily,58.3,59.8,61.0,58.5,52.0,2020-11-24
9,2020-11-26T00:00:34.416Z,/sonometros,NoiseLevelObserved,T248652-daily,58.5,59.9,61.5,59.2,52.8,2020-11-25
10,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248652-daily,58.9,60.1,61.9,61.7,52.3,2020-09-17
11,2020-09-19 00:00:23.944,/sonometros,NoiseLevelObserved,T248652-daily,59.9,60.2,64.7,63.7,57.1,2020-09-18
12,2020-09-20 00:00:24.942,/sonometros,NoiseLevelObserved,T248652-daily,58.9,58.5,64.3,63.8,56.9,2020-09-19
13,2020-09-21 00:00:28.400,/sonometros,NoiseLevelObserved,T248652-daily,57.1,57,63,58.9,56.5,2020-09-20
14,2020-09-22 00:00:30.318,/sonometros,NoiseLevelObserved,T248652-daily,58.1,59.7,60.7,59.2,50.9,2020-09-21
15,2020-09-23 00:00:32.645,/sonometros,NoiseLevelObserved,T248652-daily,58.1,59.5,61,60.1,51.4,2020-09-22
16,2020-09-24 00:00:35.332,/sonometros,NoiseLevelObserved,T248652-daily,58,59.3,61,60.1,51.7,2020-09-23
17,2020-09-25 00:00:38.83,/sonometros,NoiseLevelObserved,T248652-daily,60.3,61.9,62.8,61.3,53,2020-09-24
18,2020-09-26 00:00:39.964,/sonometros,NoiseLevelObserved,T248652-daily,60.8,61.1,64.9,65.7,56.1,2020-09-25
19,2020-09-27 00:00:42.685,/sonometros,NoiseLevelObserved,T248652-daily,58.8,59,64.2,61.2,57.4,2020-09-26
20,2020-09-28 00:00:45.395,/sonometros,NoiseLevelObserved,T248652-daily,57.5,58.7,61.4,57.6,53.8,2020-09-27
21,2020-09-29 00:00:47.281,/sonometros,NoiseLevelObserved,T248652-daily,58.2,59.9,60.6,57.9,51,2020-09-28
22,2020-09-30 00:00:49.873,/sonometros,NoiseLevelObserved,T248652-daily,57.8,59.4,60.6,57.9,51.5,2020-09-29
23,2020-10-01 00:00:51.916,/sonometros,NoiseLevelObserved,T248652-daily,58.7,60.2,61.4,59.3,52.1,2020-09-30
24,2020-10-02 00:00:56.179,/sonometros,NoiseLevelObserved,T248652-daily,58.8,59.9,62.3,61.5,53.6,2020-10-01
25,2020-10-03 00:00:57.878,/sonometros,NoiseLevelObserved,T248652-daily,59.8,61.1,62.9,61.8,53.9,2020-10-02
26,2020-10-04 00:01:59.424,/sonometros,NoiseLevelObserved,T248652-daily,60.2,61.2,64.6,60.5,57.4,2020-10-03
27,2020-10-05 00:00:04.370,/sonometros,NoiseLevelObserved,T248652-daily,57.7,58.8,62.1,56.5,55.1,2020-10-04
28,2020-10-06 00:00:05.174,/sonometros,NoiseLevelObserved,T248652-daily,58.8,60.3,61.9,58.9,53.4,2020-10-05
29,2020-10-07 00:00:07.683,/sonometros,NoiseLevelObserved,T248652-daily,58.7,60.1,61.8,60.5,52.6,2020-10-06
30,2020-10-08 00:00:15.60,/sonometros,NoiseLevelObserved,T248652-daily,60.4,62.2,62.5,59.5,52.4,2020-10-07
31,2020-10-09 00:00:12.651,/sonometros,NoiseLevelObserved,T248652-daily,61.3,62.2,64.8,64.5,55.9,2020-10-08
32,2020-10-10 00:00:15.31,/sonometros,NoiseLevelObserved,T248652-daily,59.1,59.2,64.5,62.6,57.5,2020-10-09
33,2020-10-11 00:00:16.944,/sonometros,NoiseLevelObserved,T248652-daily,58.7,59.1,63.7,61.7,56.5,2020-10-10
34,2020-10-12 00:00:19.821,/sonometros,NoiseLevelObserved,T248652-daily,56.8,56.8,62.3,59.8,55.5,2020-10-11
35,2020-10-13 00:00:20.88,/sonometros,NoiseLevelObserved,T248652-daily,56.1,57.4,59.2,57.9,50.2,2020-10-12
36,2020-10-14 00:00:23.421,/sonometros,NoiseLevelObserved,T248652-daily,57.6,59,60.6,58.9,51.6,2020-10-13
37,2020-10-15 00:00:25.532,/sonometros,NoiseLevelObserved,T248652-daily,58.3,59.7,61.5,59.5,52.8,2020-10-14
38,2020-10-16 00:00:27.143,/sonometros,NoiseLevelObserved,T248652-daily,59,60.7,61.8,59.4,53.1,2020-10-15
39,2020-10-17 00:00:29.137,/sonometros,NoiseLevelObserved,T248652-daily,59.5,60.5,63.3,62.4,54.8,2020-10-16
40,2020-10-18 00:00:31.404,/sonometros,NoiseLevelObserved,T248652-daily,59.3,60.1,63.4,62.2,55.3,2020-10-17
41,2020-10-19 00:00:34.80,/sonometros,NoiseLevelObserved,T248652-daily,57.6,58.7,61.9,57.3,54.6,2020-10-18
42,2020-10-20 00:00:35.962,/sonometros,NoiseLevelObserved,T248652-daily,58.7,60.2,61.3,59.6,51.7,2020-10-19
43,2020-10-21 00:00:38.101,/sonometros,NoiseLevelObserved,T248652-daily,59.1,60.9,61.2,58.1,51.1,2020-10-20
44,2020-10-22 00:00:40.872,/sonometros,NoiseLevelObserved,T248652-daily,59.3,60.9,62,59.4,52.8,2020-10-21
45,2020-10-23 00:00:43.120,/sonometros,NoiseLevelObserved,T248652-daily,58.9,60.2,62.3,59.8,54,2020-10-22
46,2020-10-24 00:00:45.819,/sonometros,NoiseLevelObserved,T248652-daily,60,60.8,64.3,62.9,56.4,2020-10-23
47,2020-10-25 00:00:47.953,/sonometros,NoiseLevelObserved,T248652-daily,59.3,60,64.2,60.9,57.1,2020-10-24
48,2020-10-26 00:00:50.545,/sonometros,NoiseLevelObserved,T248652-daily,56.8,58.2,61,56.2,53.3,2020-10-25
49,2020-10-27 00:00:52.620,/sonometros,NoiseLevelObserved,T248652-daily,57.6,59.3,60.4,56.6,51.6,2020-10-26
50,2020-10-28 00:00:54.498,/sonometros,NoiseLevelObserved,T248652-daily,60.6,62.6,62.1,55.3,51.4,2020-10-27
51,2020-10-29 00:00:57.0,/sonometros,NoiseLevelObserved,T248652-daily,57.9,59.2,61.5,57.2,53.7,2020-10-28
52,2020-10-30 00:00:59.223,/sonometros,NoiseLevelObserved,T248652-daily,58.5,60,61.5,59.1,52.6,2020-10-29
53,2020-10-31 00:00:05.483,/sonometros,NoiseLevelObserved,T248652-daily,60.5,61.6,63.6,63.7,54.1,2020-10-30
54,2020-11-01 00:00:05.297,/sonometros,NoiseLevelObserved,T248652-daily,58.5,59.8,61.8,60.2,53,2020-10-31
55,2020-11-02 00:00:09.656,/sonometros,NoiseLevelObserved,T248652-daily,56.7,57.9,60.4,57.1,52.6,2020-11-01
56,2020-11-03 00:00:08.807,/sonometros,NoiseLevelObserved,T248652-daily,58.6,60.5,60.5,56.4,50.1,2020-11-02
57,2020-11-04 00:00:11.727,/sonometros,NoiseLevelObserved,T248652-daily,59.4,61.2,61.7,57,52.4,2020-11-03
58,2020-11-05 00:00:17.433,/sonometros,NoiseLevelObserved,T248652-daily,58.4,59.2,63.1,59.6,55.9,2020-11-04
59,2020-11-06 00:00:16.605,/sonometros,NoiseLevelObserved,T248652-daily,62.1,63.3,66.6,56.9,59.8,2020-11-05
60,2020-11-07 00:00:18.86,/sonometros,NoiseLevelObserved,T248652-daily,59.6,61,62.5,61,53.4,2020-11-06
61,2020-11-08 00:00:21.119,/sonometros,NoiseLevelObserved,T248652-daily,60.3,61.5,64.2,60.9,56.5,2020-11-07
62,2020-11-09 00:00:22.45,/sonometros,NoiseLevelObserved,T248652-daily,56.9,58.3,59.7,58.8,50,2020-11-08
63,2020-11-10 00:00:23.377,/sonometros,NoiseLevelObserved,T248652-daily,59.5,61.3,61.7,58.7,51.8,2020-11-09
64,2020-11-11 00:00:26.142,/sonometros,NoiseLevelObserved,T248652-daily,58.2,59.7,61.3,57.3,52.9,2020-11-10
65,2020-11-12 00:00:27.926,/sonometros,NoiseLevelObserved,T248652-daily,58.4,59.7,61.2,60.1,51.9,2020-11-11
66,2020-11-13 00:00:30.170,/sonometros,NoiseLevelObserved,T248652-daily,59.5,60.4,64.1,60.2,56.9,2020-11-12
67,2020-11-14 00:00:32.718,/sonometros,NoiseLevelObserved,T248652-daily,60.6,61.5,64.3,63.8,55.7,2020-11-13
68,2020-11-15 00:00:35.300,/sonometros,NoiseLevelObserved,T248652-daily,58.4,59.5,61.7,60.7,52.8,2020-11-14
69,2020-11-16 00:00:38.217,/sonometros,NoiseLevelObserved,T248652-daily,56.8,58,61,56.7,53.6,2020-11-15
70,2020-11-17 00:00:39.761,/sonometros,NoiseLevelObserved,T248652-daily,59,61,60.7,56,50.1,2020-11-16
