_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248683-daily,62.4,64.0,64.8,62.9,54.9,2020-11-17
2,2020-11-19T00:00:55.694Z,/sonometros,NoiseLevelObserved,T248683-daily,62.2,63.7,64.8,62.9,55.3,2020-11-18
3,2020-11-20T00:00:34.705Z,/sonometros,NoiseLevelObserved,T248683-daily,62.2,63.6,65.3,63.4,56.6,2020-11-19
4,2020-11-21T00:00:37.596Z,/sonometros,NoiseLevelObserved,T248683-daily,62.2,63.5,65.5,63.5,56.9,2020-11-20
5,2020-11-22T00:00:41.660Z,/sonometros,NoiseLevelObserved,T248683-daily,61.5,62.6,64.9,63.4,56.4,2020-11-21
6,2020-11-23T00:00:44.20Z,/sonometros,NoiseLevelObserved,T248683-daily,60.1,61.3,63.2,62.5,53.9,2020-11-22
7,2020-11-24T00:00:46.14Z,/sonometros,NoiseLevelObserved,T248683-daily,62.0,63.6,64.4,62.3,54.7,2020-11-23
8,2020-11-25T00:00:48.65Z,/sonometros,NoiseLevelObserved,T248683-daily,62.3,63.7,65.2,63.9,55.8,2020-11-24
9,2020-11-26T00:00:50.294Z,/sonometros,NoiseLevelObserved,T248683-daily,62.4,63.9,65.0,63.2,55.4,2020-11-25
10,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248683-daily,61.4,62.6,64.9,62.9,56.5,2020-09-17
11,2020-09-19 00:00:38.555,/sonometros,NoiseLevelObserved,T248683-daily,62,63.2,65.4,63.8,56.8,2020-09-18
12,2020-09-20 00:00:41.24,/sonometros,NoiseLevelObserved,T248683-daily,60.7,61.4,65.2,63.3,57.7,2020-09-19
13,2020-09-21 00:00:43.607,/sonometros,NoiseLevelObserved,T248683-daily,59.2,59.9,64.3,59.5,57.6,2020-09-20
14,2020-09-22 00:00:46.579,/sonometros,NoiseLevelObserved,T248683-daily,61.6,62.9,64.3,63.5,54.7,2020-09-21
15,2020-09-23 00:00:48.850,/sonometros,NoiseLevelObserved,T248683-daily,61.3,62.7,64.2,62,55.3,2020-09-22
16,2020-09-24 00:00:52.638,/sonometros,NoiseLevelObserved,T248683-daily,61,62.2,64.4,62.9,55.8,2020-09-23
17,2020-09-25 00:00:55.262,/sonometros,NoiseLevelObserved,T248683-daily,62.7,64.4,65.3,62.2,56.1,2020-09-24
18,2020-09-26 00:00:57.220,/sonometros,NoiseLevelObserved,T248683-daily,60.9,62.2,64.3,62.4,55.7,2020-09-25
19,2020-09-27 00:00:00.736,/sonometros,NoiseLevelObserved,T248683-daily,60.6,61.3,64.9,63.1,57.3,2020-09-26
20,2020-09-28 00:00:19.327,/sonometros,NoiseLevelObserved,T248683-daily,59.5,60.1,64.3,61.9,57.1,2020-09-27
21,2020-09-29 00:00:09.918,/sonometros,NoiseLevelObserved,T248683-daily,60.6,62.1,63.5,61.6,54.3,2020-09-28
22,2020-09-30 00:00:09.668,/sonometros,NoiseLevelObserved,T248683-daily,61.3,62.8,64.2,62,55.2,2020-09-29
23,2020-10-01 00:00:12.36,/sonometros,NoiseLevelObserved,T248683-daily,62.7,64.3,65.3,63,55.9,2020-09-30
24,2020-10-02 00:00:14.886,/sonometros,NoiseLevelObserved,T248683-daily,63.6,65.5,65.7,62.4,55.5,2020-10-01
25,2020-10-03 00:00:17.472,/sonometros,NoiseLevelObserved,T248683-daily,61.9,63.2,65.3,63.1,56.8,2020-10-02
26,2020-10-04 00:00:20.438,/sonometros,NoiseLevelObserved,T248683-daily,61.8,63,65.8,61.5,58.3,2020-10-03
27,2020-10-05 00:00:21.930,/sonometros,NoiseLevelObserved,T248683-daily,60.5,61.3,65.1,62.1,57.8,2020-10-04
28,2020-10-06 00:00:24.442,/sonometros,NoiseLevelObserved,T248683-daily,61.1,62.6,64,61.7,55,2020-10-05
29,2020-10-07 00:00:28.622,/sonometros,NoiseLevelObserved,T248683-daily,60.8,62.2,63.9,62.3,54.9,2020-10-06
30,2020-10-08 00:00:30.373,/sonometros,NoiseLevelObserved,T248683-daily,61,62.2,64.2,62.8,55.3,2020-10-07
31,2020-10-09 00:00:33.83,/sonometros,NoiseLevelObserved,T248683-daily,64.7,66.5,67,62.3,57.8,2020-10-08
32,2020-10-10 00:00:35.704,/sonometros,NoiseLevelObserved,T248683-daily,61,61.6,65.7,62.9,58.5,2020-10-09
33,2020-10-11 00:00:38.625,/sonometros,NoiseLevelObserved,T248683-daily,61,61.9,65.9,61.4,58.9,2020-10-10
34,2020-10-12 00:00:41.54,/sonometros,NoiseLevelObserved,T248683-daily,59.4,60,64.3,61.5,57.2,2020-10-11
35,2020-10-13 00:00:43.130,/sonometros,NoiseLevelObserved,T248683-daily,58.9,59.9,62.6,61.2,54.3,2020-10-12
36,2020-10-14 00:00:45.763,/sonometros,NoiseLevelObserved,T248683-daily,60.8,62.3,63.7,61.8,54.5,2020-10-13
37,2020-10-15 00:00:49.162,/sonometros,NoiseLevelObserved,T248683-daily,61.5,62.9,64.6,61.4,56.2,2020-10-14
38,2020-10-16 00:00:27.322,/sonometros,NoiseLevelObserved,T248683-daily,60.8,62.2,64.1,61.5,55.7,2020-10-15
39,2020-10-17 00:00:29.244,/sonometros,NoiseLevelObserved,T248683-daily,61.4,62.7,64.6,62.9,55.9,2020-10-16
40,2020-10-18 00:00:31.974,/sonometros,NoiseLevelObserved,T248683-daily,61.7,62.1,66.4,65.6,58.7,2020-10-17
41,2020-10-19 00:00:34.946,/sonometros,NoiseLevelObserved,T248683-daily,61,62,65.1,63,57.3,2020-10-18
42,2020-10-20 00:00:37.767,/sonometros,NoiseLevelObserved,T248683-daily,62.1,63.6,64.8,62.4,55.7,2020-10-19
43,2020-10-21 00:00:40.595,/sonometros,NoiseLevelObserved,T248683-daily,65.1,67,66.8,63.2,56,2020-10-20
44,2020-10-22 00:00:43.339,/sonometros,NoiseLevelObserved,T248683-daily,62.6,64.1,65.3,62.7,56.3,2020-10-21
45,2020-10-23 00:00:45.674,/sonometros,NoiseLevelObserved,T248683-daily,62.7,64.2,65.4,63.6,56,2020-10-22
46,2020-10-24 00:01:48.479,/sonometros,NoiseLevelObserved,T248683-daily,61.8,63.1,65.3,62.3,57.2,2020-10-23
47,2020-10-25 00:00:50.756,/sonometros,NoiseLevelObserved,T248683-daily,61.5,62,66.1,64.7,58.5,2020-10-24
48,2020-10-26 00:00:52.862,/sonometros,NoiseLevelObserved,T248683-daily,61.2,61.8,66.9,61.2,60.1,2020-10-25
49,2020-10-27 00:00:55.694,/sonometros,NoiseLevelObserved,T248683-daily,61.3,62.8,64,62.8,54.3,2020-10-26
50,2020-10-28 00:00:01.528,/sonometros,NoiseLevelObserved,T248683-daily,61,62.4,63.9,62.1,54.8,2020-10-27
51,2020-10-29 00:00:06.666,/sonometros,NoiseLevelObserved,T248683-daily,61.2,62.6,64.3,62,55.7,2020-10-28
52,2020-10-30 00:00:08.613,/sonometros,NoiseLevelObserved,T248683-daily,61.6,63,64.9,62.9,56.3,2020-10-29
53,2020-10-31 00:00:07.379,/sonometros,NoiseLevelObserved,T248683-daily,62.4,63.3,66.6,63.8,59,2020-10-30
54,2020-11-01 00:00:10.498,/sonometros,NoiseLevelObserved,T248683-daily,62.2,62.6,66,66.9,56.9,2020-10-31
55,2020-11-02 00:00:13.834,/sonometros,NoiseLevelObserved,T248683-daily,60.2,61.3,64,61.7,56.1,2020-11-01
56,2020-11-03 00:00:14.529,/sonometros,NoiseLevelObserved,T248683-daily,62.1,63.6,64.6,63.2,54.8,2020-11-02
57,2020-11-04 00:00:19.131,/sonometros,NoiseLevelObserved,T248683-daily,62.1,63.5,64.8,63.9,55.1,2020-11-03
58,2020-11-05 00:00:19.894,/sonometros,NoiseLevelObserved,T248683-daily,63,64,66.7,65.6,58.2,2020-11-04
59,2020-11-06 00:00:21.191,/sonometros,NoiseLevelObserved,T248683-daily,65.6,67,69,65.1,61,2020-11-05
