_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248677-daily,60.3,62.1,62.2,59.5,51.7,2020-11-17
2,2020-11-19T00:00:10.850Z,/sonometros,NoiseLevelObserved,T248677-daily,61.7,63.4,63.6,62.1,52.6,2020-11-18
3,2020-11-20T00:00:21.54Z,/sonometros,NoiseLevelObserved,T248677-daily,60.6,62.1,63.1,61.0,53.7,2020-11-19
4,2020-11-21T00:00:23.100Z,/sonometros,NoiseLevelObserved,T248677-daily,63.5,63.0,67.5,70.3,56.9,2020-11-20
5,2020-11-22T00:00:25.20Z,/sonometros,NoiseLevelObserved,T248677-daily,65.1,66.0,68.1,69.8,56.7,2020-11-21
6,2020-11-23T00:00:27.208Z,/sonometros,NoiseLevelObserved,T248677-daily,59.9,61.7,62.2,58.9,52.6,2020-11-22
7,2020-11-24T00:00:29.922Z,/sonometros,NoiseLevelObserved,T248677-daily,59.9,61.7,62.0,58.3,52.2,2020-11-23
8,2020-11-25T00:01:32.176Z,/sonometros,NoiseLevelObserved,T248677-daily,62.8,64.9,64.1,59.2,52.0,2020-11-24
9,2020-11-26T00:00:33.499Z,/sonometros,NoiseLevelObserved,T248677-daily,61.3,63.1,63.2,60.9,52.3,2020-11-25
10,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248677-daily,61,61.8,64.8,64.8,56.1,2020-09-17
11,2020-09-19 00:00:42.565,/sonometros,NoiseLevelObserved,T248677-daily,62.2,63.2,65.6,65.5,56.6,2020-09-18
12,2020-09-20 00:00:45.133,/sonometros,NoiseLevelObserved,T248677-daily,63.1,62.4,68.2,69,60.3,2020-09-19
13,2020-09-21 00:00:47.720,/sonometros,NoiseLevelObserved,T248677-daily,59.2,58.4,65.1,64,58.2,2020-09-20
14,2020-09-22 00:00:50.63,/sonometros,NoiseLevelObserved,T248677-daily,59.9,61.5,62.3,60.1,52.6,2020-09-21
15,2020-09-23 00:00:52.625,/sonometros,NoiseLevelObserved,T248677-daily,61.2,62.8,63.5,62,53.3,2020-09-22
16,2020-09-29 06:31:17.202,/sonometros,NoiseLevelObserved,T248677-daily,59.8,61.4,62.4,60.5,52.7,2020-09-28
17,2020-09-30 00:06:10.357,/sonometros,NoiseLevelObserved,T248677-daily,61.2,62.8,63.3,62.4,52.4,2020-09-29
18,2020-10-01 00:00:12.238,/sonometros,NoiseLevelObserved,T248677-daily,61.9,62.9,64.9,65.7,54.6,2020-09-30
19,2020-10-02 00:00:14.883,/sonometros,NoiseLevelObserved,T248677-daily,60.5,61.4,63.7,64.5,53.8,2020-10-01
20,2020-10-03 00:00:16.831,/sonometros,NoiseLevelObserved,T248677-daily,61.3,62.2,65.3,64.3,57.2,2020-10-02
21,2020-10-04 00:00:19.7,/sonometros,NoiseLevelObserved,T248677-daily,63.1,63.8,67.1,66.8,58.6,2020-10-03
22,2020-10-05 00:00:20.655,/sonometros,NoiseLevelObserved,T248677-daily,59.1,60.4,63,58.4,55.5,2020-10-04
23,2020-10-06 00:00:22.779,/sonometros,NoiseLevelObserved,T248677-daily,59.2,60.8,61.8,59.3,52.4,2020-10-05
24,2020-10-07 00:00:25.190,/sonometros,NoiseLevelObserved,T248677-daily,60.9,62.4,63.2,62,52.9,2020-10-06
25,2020-10-08 00:00:27.624,/sonometros,NoiseLevelObserved,T248677-daily,60.2,61.2,63.4,64.3,53.2,2020-10-07
26,2020-10-09 00:00:29.998,/sonometros,NoiseLevelObserved,T248677-daily,63,63,67.3,68.5,58.4,2020-10-08
27,2020-10-10 00:00:32.325,/sonometros,NoiseLevelObserved,T248677-daily,61.5,61.6,66.3,65.9,58.6,2020-10-09
28,2020-10-11 00:00:35.0,/sonometros,NoiseLevelObserved,T248677-daily,61.1,61.2,66,65.6,58.3,2020-10-10
